a	072	46	2	1	8	10	1.0	1	17	18	6	11	11	21	1	1	0
a	073	29	0	0	7	7	1.1111111111111112	1	6	5	7	8	11	10	1	1	2
a	074	32	0	1	6	5	1.1111111111111112	0	8	10	8	8	10	10	1	1	0
a	075	32	1	1	6	8	1.125	1	10	13	4	5	5	14	1	1	0
a	076	40	0	0	7	7	1.0909090909090908	1	12	11	12	14	17	15	1	1	1
a	077	27	0	1	7	6	1.1428571428571428	0	4	6	9	6	6	5	1	1	0
a	078	52	0	0	11	9	1.0	0	14	14	9	12	12	14	1	1	0
a	079	24	1	0	5	4	1.1428571428571428	0	6	6	4	4	3	6	1	1	0
a	080	42	0	0	9	8	1.0909090909090908	0	7	10	12	13	13	10	1	1	1
a	081	64	1	0	12	9	0.9375	0	13	13	15	16	17	12	1	2	0
a	082	33	0	1	6	4	0.9090909090909091	1	6	7	11	13	17	12	1	1	3
a	083	40	1	1	7	10	1.0	0	6	8	10	10	12	7	1	1	0
a	084	41	1	0	8	10	1.0	2	13	15	8	8	9	15	1	1	0
a	085	40	0	0	10	7	0.9	1	6	7	10	11	7	6	1	1	0
a	086	53	0	0	10	10	1.0769230769230769	0	7	8	9	10	9	7	1	1	0
a	087	31	0	0	6	4	0.9090909090909091	1	5	6	9	9	16	12	1	1	3
a	088	54	0	0	13	12	1.0769230769230769	0	6	8	13	12	11	5	1	1	0
a	089	47	0	0	10	9	1.2	1	9	9	10	9	8	9	1	1	0
a	090	29	0	0	7	5	1.125	1	8	9	9	9	12	11	1	1	2
a	091	59	5	0	3	14	1.0	1	36	36	16	18	17	37	1	1	0
a	092	41	0	2	7	6	0.8571428571428571	1	7	8	16	15	22	13	1	1	4
a	093	88	0	0	13	12	0.8	0	12	13	16	18	0	0	1	1	0
a	094	52	0	1	10	10	1.1538461538461537	0	15	13	8	8	9	14	1	1	0
a	095	53	1	1	13	8	1.0	0	9	10	20	22	24	11	1	1	1
a	096	59	0	0	11	11	1.0	0	8	10	8	10	4	2	1	1	0
a	097	32	3	0	6	4	1.1818181818181819	1	10	10	8	9	16	16	1	1	5
a	098	42	0	0	8	7	0.9166666666666666	0	9	12	14	12	13	9	1	1	0
a	099	54	0	0	10	10	1.0	0	8	8	6	12	0	0	1	1	0
b	000	24	5	0	3	4	0.6	1	6	7	10	8	9	6	1	1	0
b	001	36	5	0	2	2	0.5294117647058824	1	7	8	20	16	24	14	1	1	4
b	002	24	5	0	4	4	0.45454545454545453	1	3	4	11	9	10	3	1	1	0
b	003	37	6	0	7	5	0.6923076923076923	1	8	8	14	8	9	8	1	1	0
b	004	35	5	0	6	4	0.5	1	5	4	17	13	19	10	1	1	4
b	005	35	5	0	7	5	0.6	1	7	6	14	16	17	9	1	1	1
b	006	30	9	0	3	3	0.4666666666666667	1	7	8	15	14	16	8	1	1	0
b	007	35	7	0	5	3	0.625	1	8	8	14	12	17	14	1	1	1
b	008	46	5	0	10	7	0.6	2	8	6	18	16	15	6	1	1	0
b	009	46	5	0	8	8	0.6875	1	10	10	16	14	15	10	1	1	0
b	010	31	4	0	5	1	0.7692307692307693	1	8	8	13	10	18	16	1	1	5
b	011	35	5	0	5	5	0.6153846153846154	1	8	7	15	12	15	7	1	1	0
b	012	19	4	0	3	3	0.4	1	2	3	12	8	11	3	1	1	0
b	013	40	6	0	6	6	0.6	1	10	9	17	15	16	9	1	1	0
b	014	14	4	1	0	1	0.4444444444444444	1	1	1	9	4	10	5	1	1	2
b	015	37	5	0	8	4	0.5333333333333333	1	6	7	15	14	12	9	1	1	0
b	016	38	6	0	6	5	0.5	1	7	8	18	17	18	8	1	1	0
b	017	30	6	0	3	3	0.4666666666666667	1	5	6	17	14	18	9	1	1	1
b	018	32	5	0	5	4	0.5714285714285714	1	7	6	15	13	15	10	1	1	1
b	019	33	5	0	3	3	0.5714285714285714	1	6	9	16	15	17	9	1	1	1
b	020	23	5	0	3	3	0.7272727272727273	1	7	6	10	10	15	10	1	1	2
b	021	29	6	0	5	4	0.5	1	4	5	12	10	9	4	1	1	0
b	022	37	6	0	5	5	0.6666666666666666	1	10	11	14	10	13	14	1	1	1
b	023	41	8	0	5	6	0.625	1	10	10	17	14	16	9	1	1	0
b	024	42	3	0	9	6	0.6428571428571429	1	5	5	17	10	12	5	1	1	0
b	025	20	6	0	3	3	0.5	1	4	5	10	8	9	5	1	1	0
b	026	31	8	0	3	1	0.6	1	9	10	15	12	17	14	1	1	2
b	027	31	5	0	4	5	0.6666666666666666	1	9	9	12	11	12	9	1	1	0
b	028	44	5	0	6	7	0.7857142857142857	1	14	13	15	13	14	13	1	1	0
b	029	34	6	0	5	4	0.6666666666666666	1	8	9	14	12	18	14	1	1	3
b	030	50	4	0	8	8	0.9285714285714286	1	13	13	14	13	12	12	1	1	0
b	031	34	5	0	5	7	0.6153846153846154	1	5	7	13	11	13	6	1	1	0
b	032	35	5	0	7	5	0.8461538461538461	1	10	9	12	11	14	13	1	1	2
b	033	35	6	0	4	3	0.5333333333333333	1	8	9	18	17	18	11	1	1	0
b	034	35	6	0	5	4	0.7692307692307693	1	12	13	13	12	13	14	1	1	0
b	035	21	6	0	3	3	0.45454545454545453	1	3	5	11	8	11	5	1	1	0
b	036	25	5	0	5	4	0.5454545454545454	1	4	5	11	9	10	5	1	1	0
b	037	21	3	0	3	3	0.5	1	3	5	12	9	12	5	1	1	0
b	038	39	6	0	8	3	0.47058823529411764	1	7	6	21	18	19	11	1	1	1
b	039	78	0	0	9	11	0.6875	0	8	9	17	13	0	1	1	1	0
b	040	33	4	0	4	3	0.6923076923076923	1	8	8	14	13	16	11	1	1	2
b	041	50	4	0	7	8	0.5882352941176471	1	9	12	17	14	9	8	1	1	0
b	042	31	6	0	4	3	0.6153846153846154	1	8	9	14	12	14	9	1	1	0
b	043	29	6	0	4	4	0.5833333333333334	1	8	8	13	11	12	8	1	1	0
